masdar,screeve,subject,conjugation
ყოფნა,Future,3rd plural,იქნებიან
დაბადება,Present,1st singular,ვბადებ
დაბადება,Present,2nd singular,ბადებ
დაბადება,Present,3rd singular,ბადებს
დაბადება,Present,1st plural,ვბადებთ
დაბადება,Present,2nd plural,ბადებთ
დაბადება,Present,3rd plural,ბადებენ
დაბადება,Aorist,1st singular,დავბადე
დაბადება,Aorist,2nd singular,დაბადე
დაბადება,Aorist,3rd singular,დაბადა
დაბადება,Aorist,1st plural,დავბადეთ
დაბადება,Aorist,2nd plural,დაბადეთ
დაბადება,Aorist,3rd plural,დაბადეს
გახდომა / გახდება,Present,1st singular,ვხდები
გახდომა / გახდება,Present,2nd singular,ხდები
გახდომა / გახდება,Present,3rd singular,ხდება
გახდომა / გახდება,Present,1st plural,ვხდებით
გახდომა / გახდება,Present,2nd plural,ხდებით
გახდომა / გახდება,Present,3rd plural,ხდებიან
გახდომა / გახდება,Aorist,1st singular,გავხდი
გახდომა / გახდება,Aorist,2nd singular,გახდი
გახდომა / გახდება,Aorist,3rd singular,გახდა
გახდომა / გახდება,Aorist,1st plural,გავხდით
გახდომა / გახდება,Aorist,2nd plural,გახდით
გახდომა / გახდება,Aorist,3rd plural,გახდნენ
დაწყება,Present,1st singular,ვიწყებ
დაწყება,Present,2nd singular,იწყებ
დაწყება,Present,3rd singular,იწყებს
დაწყება,Present,1st plural,ვიწყებთ
დაწყება,Present,2nd plural,იწყებთ
დაწყება,Present,3rd plural,იწყებენ
მოქცევა,Present,1st singular,ვიქცევი
მოქცევა,Present,2nd singular,იქცევი
მოქცევა,Present,3rd singular,იქცევა
მოქცევა,Present,1st plural,ვიქცევით
მოქცევა,Present,2nd plural,იქცევით
მოქცევა,Present,3rd plural,იქცევიან
მოქცევა,Aorist,1st singular,მოვიქეცი
მოქცევა,Aorist,2nd singular,მოიქეცი
მოქცევა,Aorist,3rd singular,მოიქცა
მოქცევა,Aorist,1st plural,მოვიქეცით
მოქცევა,Aorist,2nd plural,მოიქეცით
მოქცევა,Aorist,3rd plural,მოიქცნენ
დაჯერება,Present,1st singular,მჯერა
დაჯერება,Present,2nd singular,გჯერა
დაჯერება,Present,3rd singular,სჯერა
დაჯერება,Present,1st plural,გვჯერა
დაჯერება,Present,2nd plural,გჯერათ
დაჯერება,Present,3rd plural,სჯერათ
დაჯერება,Aorist,1st singular,მჯეროდა
დაჯერება,Aorist,2nd singular,გჯეროდა
დაჯერება,Aorist,3rd singular,სჯეროდა
დაჯერება,Aorist,1st plural,გვჯეროდა
დაჯერება,Aorist,2nd plural,გჯეროდათ
დაჯერება,Aorist,3rd plural,ნჯეროდათ
დაჯერება,Future,1st singular,დავიჯერებ
დაჯერება,Future,2nd singular,დაიჯერებ
დაჯერება,Future,3rd singular,დაიჯერებს
დაჯერება,Future,1st plural,დავიჯერებთ
დაჯერება,Future,2nd plural,დაიჯერებთ
დაჯერება,Future,3rd plural,დაიჯერებენ
რწმენა,Present,1st singular,მწამს
რწმენა,Present,2nd singular,გწამს
რწმენა,Present,3rd singular,სწამს
რწმენა,Present,1st plural,გვწამს
რწმენა,Present,2nd plural,გწამთ
რწმენა,Present,3rd plural,სწამთ
რწმენა,Aorist,1st singular,მწამდა
რწმენა,Aorist,2nd singular,გწამდა
რწმენა,Aorist,3rd singular,სწამდა
რწმენა,Aorist,1st plural,გვწამდა
რწმენა,Aorist,2nd plural,გწამდათ
რწმენა,Aorist,3rd plural,სწამდათ
რწმენა,Future,1st singular,ვიწამებ
რწმენა,Future,2nd singular,იწამებ
რწმენა,Future,3rd singular,იწამებს
რწმენა,Future,1st plural,ვიწამებთ
რწმენა,Future,2nd plural,იწამებთ
რწმენა,Future,3rd plural,იწამებენ
დალოცვა,Present,1st singular,ვლოცავ
დალოცვა,Present,2nd singular,ლოცავ
დალოცვა,Present,3rd singular,ლოცავს
დალოცვა,Present,1st plural,ვლოცავთ
დალოცვა,Present,2nd plural,ლოცავთ
დალოცვა,Present,3rd plural,ლოცავენ
დალოცვა,Aorist,1st singular,დავლოცე
დალოცვა,Aorist,2nd singular,დალოცე
დალოცვა,Aorist,3rd singular,დალოცა
დალოცვა,Aorist,1st plural,დავლოცეთ
დალოცვა,Aorist,2nd plural,დალოცეთ
დალოცვა,Aorist,3rd plural,დალოცეს
გაწიდლება,Present,1st singular,ვწითლდები
გაწიდლება,Present,2nd singular,წითლდები
გაწიდლება,Present,3rd singular,წითლდება
გაწიდლება,Present,1st plural,ვწითლდებით
გაწიდლება,Present,2nd plural,წითლდებით
გაწიდლება,Present,3rd plural,წითლდებიან
გაწიდლება,Aorist,1st singular,გავწითლდი
გაწიდლება,Aorist,2nd singular,გაწითლდი
გაწიდლება,Aorist,3rd singular,გაწითლდა
გაწიდლება,Aorist,1st plural,გავწითლდით
გაწიდლება,Aorist,2nd plural,გაწითლდით
გაწიდლება,Aorist,3rd plural,გაწითლდნენ
დუღილი,Present,1st singular,ვადუღებ
დუღილი,Present,2nd singular,ადუღებ
დუღილი,Present,3rd singular,ადუღებს
დუღილი,Present,1st plural,ვადუღებთ
დუღილი,Present,2nd plural,ადუღებთ
დუღილი,Present,3rd plural,ადუღებენ
დუღილი,Aorist,1st singular,ავადუღე
დუღილი,Aorist,2nd singular,აადუღე
დუღილი,Aorist,3rd singular,აადუღა
დუღილი,Aorist,1st plural,ავადუღეთ
დუღილი,Aorist,2nd plural,აადუღეთ
დუღილი,Aorist,3rd plural,აადუღეს
დაბადება,Present,1st singular,ვიბადები
დაბადება,Present,2nd singular,იბადები
დაბადება,Present,3rd singular,იბადება
დაბადება,Present,1st plural,ვიბადებით
დაბადება,Present,2nd plural,იბადებით
დაბადება,Present,3rd plural,იბადებიან
დაბადება,Aorist,1st singular,დავიბადე
დაბადება,Aorist,2nd singular,დაიბადე
დაბადება,Aorist,3rd singular,დაიბადა
დაბადება,Aorist,1st plural,დავიბადეთ
დაბადება,Aorist,2nd plural,დაიბადეთ
დაბადება,Aorist,3rd plural,დაიბადნენ
სესხება,Present,1st singular,ვსესხულობ
სესხება,Present,2nd singular,სესხულობ
სესხება,Present,3rd singular,სესხულობს
სესხება,Present,1st plural,ვსესხულობთ
სესხება,Present,2nd plural,სესხულობთ
სესხება,Present,3rd plural,სესხულობენ
შეწუხება,Present,1st singular,ვაწუხებ
შეწუხება,Present,2nd singular,აწუხებ
შეწუხება,Present,3rd singular,აწუხებს
შეწუხება,Present,1st plural,ვაწუხებთ
შეწუხება,Present,2nd plural,აწუხებთ
შეწუხება,Present,3rd plural,აწუხებენ
შეწუხება,Aorist,1st singular,შევაწუხე
შეწუხება,Aorist,2nd singular,შეაწუხე
შეწუხება,Aorist,3rd singular,შეაწუხა
შეწუხება,Aorist,1st plural,შევაწუხეთ
შეწუხება,Aorist,2nd plural,შეაწუხეთ
შეწუხება,Aorist,3rd plural,შეაწუხეს
გატეხვა,Present,1st singular,ვტეხავ
გატეხვა,Present,2nd singular,ტეხავ
გატეხვა,Present,3rd singular,ტეხავს
გატეხვა,Present,1st plural,ვტეხავთ
გატეხვა,Present,2nd plural,ტეხავთ
გატეხვა,Present,3rd plural,ტეხავენ
გატეხვა,Aorist,1st singular,გავტეხე
გატეხვა,Aorist,2nd singular,გატეხე
გატეხვა,Aorist,3rd singular,გატეხა
გატეხვა,Aorist,1st plural,გავტეხეთ
გატეხვა,Aorist,2nd plural,გატეხეთ
გატეხვა,Aorist,3rd plural,გატეხეს
მიყვანა,Present,1st singular,მიმყავს
მიყვანა,Present,2nd singular,მიგყავს
მიყვანა,Present,3rd singular,მიჰყავს
მიყვანა,Present,1st plural,მიგვყავს
მიყვანა,Present,2nd plural,მიგყავთ
მიყვანა,Present,3rd plural,მიჰყავთ
მიყვანა,Aorist,1st singular,მიმიყვანე
მიყვანა,Aorist,2nd singular,მიგიყვანე
მიყვანა,Aorist,3rd singular,მიიყვანა
მიყვანა,Aorist,1st plural,მიგვიყვანე
მიყვანა,Aorist,2nd plural,მიგიყვანეთ
მიყვანა,Aorist,3rd plural,მიიყვანეს
მიყვანა,Future,1st singular,მიმიყვან
მიყვანა,Future,2nd singular,მიგიყვან
მიყვანა,Future,3rd singular,მიიყვან
მიყვანა,Future,1st plural,მიგვიყვან
მიყვანა,Future,2nd plural,მიგიყვანთ
მიყვანა,Future,3rd plural,მიიყვანენ
მოტანა,Present,1st singular,მომაქვს
მოტანა,Present,2nd singular,მოგაქვს
მოტანა,Present,3rd singular,მოაქვს
მოტანა,Present,1st plural,მოგვაქვს
მოტანა,Present,2nd plural,მოგაქვთ
მოტანა,Present,3rd plural,მოაქვთ
მოტანა,Aorist,1st singular,მოვიტანე
მოტანა,Aorist,2nd singular,მოიტანე
მოტანა,Aorist,3rd singular,მოიტანა
მოტანა,Aorist,1st plural,მოვიტანეთ
მოტანა,Aorist,2nd plural,მოიტანეთ
მოტანა,Aorist,3rd plural,მოიტანეს
მოტანა,Future,1st singular,მოვიტან
მოტანა,Future,2nd singular,მოიტან
მოტანა,Future,3rd singular,მოიტანს
მოტანა,Future,1st plural,მოვიტანთ
მოტანა,Future,2nd plural,მოიტანთ
მოტანა,Future,3rd plural,მოიტანენ
დადვალიერება,Present,1st singular,ვათვალიერებ
დადვალიერება,Present,2nd singular,ათვალიერებ
დადვალიერება,Present,3rd singular,ათვალიერებს
დადვალიერება,Present,1st plural,ვათვალიერებთ
დადვალიერება,Present,2nd plural,ათვალიერებთ
დადვალიერება,Present,3rd plural,ათვალიერებენ
დადვალიერება,Aorist,1st singular,დავათვალიერე
დადვალიერება,Aorist,2nd singular,დაათვალიერე
დადვალიერება,Aorist,3rd singular,დაათვალიერა
დადვალიერება,Aorist,1st plural,დავათვალიერეთ
დადვალიერება,Aorist,2nd plural,დაათვალიერეთ
დადვალიერება,Aorist,3rd plural,დაათვალიერეს
აშენება,Present,1st singular,ვაშენებ
აშენება,Present,2nd singular,აშენებ
აშენება,Present,3rd singular,აშენებს
აშენება,Present,1st plural,ვაშენებთ
აშენება,Present,2nd plural,აშენებთ
აშენება,Present,3rd plural,აშენებენ
აშენება,Aorist,1st singular,ავაშენე
აშენება,Aorist,2nd singular,ააშენე
აშენება,Aorist,3rd singular,ააშენა
აშენება,Aorist,1st plural,ავაშენეთ
აშენება,Aorist,2nd plural,ააშენეთ
აშენება,Aorist,3rd plural,ააშენეს
აშენება,Present,1st singular,N/A
აშენება,Present,2nd singular,N/A
აშენება,Present,3rd singular,შენდება
აშენება,Present,1st plural,N/A
აშენება,Present,2nd plural,N/A
აშენება,Present,3rd plural,შენდებიან
აშენება,Aorist,1st singular,N/A
აშენება,Aorist,2nd singular,N/A
აშენება,Aorist,3rd singular,აშენდა
აშენება,Aorist,1st plural,N/A
აშენება,Aorist,2nd plural,N/A
აშენება,Aorist,3rd plural,აშენდნენ
წვა,Present,1st singular,ვწვავ
წვა,Present,2nd singular,წვავ
წვა,Present,3rd singular,წვავს
წვა,Present,1st plural,ვწვავთ
წვა,Present,2nd plural,წვავთ
წვა,Present,3rd plural,წვავენ
წვა,Aorist,1st singular,დავწვი
წვა,Aorist,2nd singular,დაწვი
წვა,Aorist,3rd singular,დაწვა
წვა,Aorist,1st plural,დავწვით
წვა,Aorist,2nd plural,დაწვით
წვა,Aorist,3rd plural,დაწვეს
ჩაფლობა,Present,1st singular,ვფლავ
ჩაფლობა,Present,2nd singular,ფლავ
ჩაფლობა,Present,3rd singular,ფლავს
ჩაფლობა,Present,1st plural,ვფლავთ
ჩაფლობა,Present,2nd plural,ფლავთ
ჩაფლობა,Present,3rd plural,ფლავენ
ჩაფლობა,Aorist,1st singular,ჩავფალი
ჩაფლობა,Aorist,2nd singular,ჩაფალი
ჩაფლობა,Aorist,3rd singular,ჩაფლა
ჩაფლობა,Aorist,1st plural,ჩავფალით
ჩაფლობა,Aorist,2nd plural,ჩაფალით
ჩაფლობა,Aorist,3rd plural,ჩაფლეს
ყიდვა,Present,1st singular,ვყიდულობ
ყიდვა,Present,2nd singular,ყიდულობ
ყიდვა,Present,3rd singular,ყიდულობს
ყიდვა,Present,1st plural,ვყიდულობთ
ყიდვა,Present,2nd plural,ყიდულობთ
ყიდვა,Present,3rd plural,ყიდულობენ
ყიდვა,Aorist,1st singular,ვიყიდე
ყიდვა,Aorist,2nd singular,იყიდე
ყიდვა,Aorist,3rd singular,იყიდა
ყიდვა,Aorist,1st plural,ვიყიდეთ
ყიდვა,Aorist,2nd plural,იყიდეთ
ყიდვა,Aorist,3rd plural,იყიდეს
ყიდვა,Future,1st singular,ვიყიდი
ყიდვა,Future,2nd singular,იყიდი
ყიდვა,Future,3rd singular,იყიდის
ყიდვა,Future,1st plural,ვიყიდით
ყიდვა,Future,2nd plural,იყიდით
ყიდვა,Future,3rd plural,იყიდიან
რეკვა,Present,1st singular,&0%)!&
რეკვა,Present,2nd singular,0%)!&
რეკვა,Present,3rd singular,0%)!&1
რეკვა,Present,1st plural,&0%)!&'
რეკვა,Present,2nd plural,0%)!&'
რეკვა,Present,3rd plural,"0%)!&%,"
რეკვა,Aorist,1st singular,$!&0%)%
რეკვა,Aorist,2nd singular,$!0%)%
რეკვა,Aorist,3rd singular,$!0%)!
რეკვა,Aorist,1st plural,$!&0%)%'
რეკვა,Aorist,2nd plural,$!0%)%'
რეკვა,Aorist,3rd plural,$!0%)%1
დამშვიდება,Present,1st singular,ვმშვიდდები
